Program Identity,,,,Geography & Availability,,,,Income & Household,,,,,,Housing Situation,,,,,Special Eligibility,,,,,,Financial Underwriting,,,,,,Benefit & Operations,,,,,,Governance & Verification,,,,Contact,,,,,Research Summary,,,,Source & Quality,,,,,,Forms,,
Program ID,Program Name,Category,Administrator,Eligible Counties,Eligible ZIP Codes,Application Status,Application Window,AMI Min %,AMI Max %,Income Standard,Household Size Used?,Household Composition Rule,Asset Limit,Eligible Tenure,Primary Residence Required,Utility Account Required,Rent/Mortgage Arrears Required,Property Type Rule,First-Time Homebuyer Required,Employment / Occupation Rule,Age Rule,Disability Rule,Veteran Rule,Children / Pregnancy Rule,Credit Score Min,DTI Max %,Home Price / Rent Cap,Citizenship / Immigration Rule,Crisis / Displacement Required,Other Hard Disqualifiers,Benefit Type,Maximum Benefit,Benefit Frequency,Priority Factors,Required Documents,Application Method,Source URL,Last Verified,Verification Status,Internal Notes,Phone,Email,Address,Online schedule link,Intake Hours,Service Area Detail,Eligibility Summary,Availability / Waitlist Notes,Primary Source Type,Secondary Source URL,Research Confidence,Partner Listing Count,Partner Listing IDs,Data Gaps / Follow-Up,Research Date,Application Form URL,Form Notes,Reverification Notes
OHCS-MCC-OR-001,Oregon Mortgage Credit Certificate (MCC) Program,Down Payment Assistance,"Oregon Housing and Community Services (OHCS), delivered through OHCS-approved private lenders","Statewide, including Jackson",,Open,Continuous,0,,Income at or below the median family income limit established by OHCS for the area (per ORS 456.605); moderate and lower-income households,Yes,Not specified in program materials reviewed,,Prospective homeowner,Yes - must be the certificate holder's principal residence,No,No,New or existing single-family residence in Oregon,"Yes - generally must not have owned a principal residence in the prior 3 years (waived in federally designated targeted areas), consistent with federal MCC/mortgage rules",,,,,,Set by individual lender's underwriting standards,Set by individual lender; the tax credit can help borrowers qualify for a larger loan by effectively increasing usable income,Subject to federal acquisition cost limits under the mortgage credit certificate program rules,Not specified in program materials reviewed,No,"Cannot be combined with an Oregon Bond loan, Oregon Department of Veterans' Affairs loan, or other 'prohibited mortgage' as defined by the program; must be a new first-lien mortgage","Federal income tax credit equal to a set percentage (the 'MCC rate', typically around 20% in examples reviewed, though OHCS can set 10-50%) of annual mortgage interest paid","Federal tax credit capped at $2,000 per year under federal MCC rules; unused credit can carry forward up to 3 years","Annual, for the life of the mortgage (claimed on the borrower's federal tax return each year)",,MCC program application/affidavit completed with an OHCS-approved lender at the time of loan origination; annual claim via IRS Form 8396,Apply through an OHCS-approved participating lender at the time of mortgage origination,https://www.oregon.gov/ohcs/homeownership/Pages/index.aspx,2026-07-31,"Program mechanics verified against ORS 456.605, Oregon Administrative Rules Division 80, and NCSHA's national MCC program overview; Oregon's current-year specific MCC rate and income/price limits were not independently confirmed and should be checked with OHCS or a participating lender","This is a tax benefit, not a cash grant - value depends on the buyer's tax liability and is realized annually at tax filing, not at closing; can meaningfully help buyers qualify for a mortgage by increasing effective income used in underwriting; distinct from and cannot be combined with the Oregon Bond loan",800-453-5511 (OHCS general),HCS_HomeownershipLending@hcs.oregon.gov,"725 Summer St NE, Suite B, Salem, OR 97301",,N/A - arranged through a private lender only,Statewide Oregon,First-time buyer generally; income/purchase-price limits; must be arranged at loan origination,Continuous,State (OHCS) + statutory (ORS 456.605) + NCSHA overview,https://www.oregon.gov/ohcs/homeownership/Pages/index.aspx,Medium,0,N/A,Current MCC rate (10-50% range) and exact income/price limits not independently confirmed,2026-07-31,https://www.oregon.gov/ohcs/homeownership/pages/find-a-lender.aspx,No applicant-facing form - the lender completes an MCC application/affidavit at loan origination. Borrower files IRS Form 8396 annually thereafter to claim the credit: https://www.irs.gov/forms-pubs/about-form-8396,"Reverified 2026-08-06. Federal $2,000/yr credit cap and the prohibition on combining MCC with an Oregon Bond/Flex Lending loan confirmed. Current Oregon MCC rate and county income/price limits still not located on an OHCS page - confirm with a participating lender."
OR-HOME-SAVINGS-001,Oregon First-Time Home Buyer Savings Account (OR-HOME),Down Payment Assistance,Oregon Department of Revenue (state tax program); account held at any Oregon financial institution,"Statewide, including Jackson",,"Open - account must be opened by December 31, 2026 per program sunset reviewed",Must open the account by 12/31/2026; funds must be used to purchase a home within 10 years of opening,,,None - not means-tested; available to any first-time homebuyer regardless of income,No,,,Prospective homeowner (saving toward purchase),Funds must be used toward a single-family home that will be the buyer's residence,No,No,Single-family home in Oregon,Yes,,,,,,,,,Not specified in program materials reviewed,No,Funds not used for a qualifying home purchase within 10 years may lose the tax-advantaged treatment; account must be designated via Form OR-HOME,Oregon state income tax deduction for amounts deposited into (and earnings on) a dedicated savings account,"Deduct up to $6,285/year (single filer) or $12,570/year (joint filers) from Oregon taxable income for tax year 2026; lifetime aggregate cap $50,000 single / $100,000 joint","Annual deduction, claimed each year deposits are made, until the home is purchased or the account is closed",,Oregon Form OR-HOME filed with state tax return designating the account,Open a First-Time Home Buyer Savings Account at any Oregon financial institution; no application to a housing agency required,https://www.oregon.gov/dor,2026-07-31,Verified directly against the Oregon Department of Revenue's own First-Time Home Buyer Savings Account page and Form OR-HOME,"This is a savings vehicle (tax deduction), not a grant or direct assistance payment - it accelerates a buyer's own saving rather than providing outside funds; can be combined with OHCS assistance programs per third-party sources; not income-restricted, so it doesn't fit the same 60%/80%/100% AMI framework as the other rows in this sheet | Updated 2026-07-31: corrected deduction caps to the 2026 figures ($6,285/$12,570) confirmed on Oregon DOR's own page; the earlier $6,125/$12,245 figures were for tax year 2025, sourced from a news release rather than DOR's current page.",800-356-4222 (toll-free in OR); 503-378-4988,questions.dor@oregon.gov,Not independently confirmed - use phone/email,,Not published; standard Oregon DOR business hours assumed but not confirmed,Statewide Oregon; any Oregon financial institution,First-time buyer; no income limit; account must be opened by 12/31/2026,"N/A - self-directed tax program, no waitlist",State (Oregon DOR) official form/page,https://www.oregon.gov/dor/forms/FormsPubs/form-or-home_101-010_110424.pdf,Medium,0,N/A,Deduction caps were corrected once already during research; verify current-year figures each tax season,2026-08-04,https://www.oregon.gov/dor/forms/FormsPubs/form-or-home_101-010_110424.pdf,Form OR-HOME (Oregon DOR form 101-010). Part 1 designates the account; Part 2 designates a beneficiary if different from the account holder. Filed with the Oregon income tax return.,"CORRECTED 2026-08-06: deduction caps updated to the 2026 figures ($6,285/$12,570) from Oregon DOR. The previously recorded $6,125/$12,245 were tax-year-2025 figures sourced from a news release rather than DOR's own page."
OR-IDA-HOME-001,Oregon Individual Development Account (IDA) Initiative - Homeownership Goal,Down Payment Assistance,"Oregon IDA Initiative (OHCS-supported), fiduciary organization CASA of Oregon / VIDA network, delivered through local nonprofit partner agencies statewide",Statewide - exact Jackson County delivery partner not confirmed in sources reviewed; contact CASA of Oregon to locate the current local provider,,Open (varies by local partner agency's enrollment cycle),Rolling enrollment through local partner agencies; savings period ranges from about 3 months to 3+ years depending on provider and savings goal,0,80,Household adjusted gross income at or below 80% of area median income for household size (figure confirmed via a DevNW-operated IDA program; exact threshold may vary slightly by local partner agency),Yes,Not specified in program materials reviewed,"Household net worth at or below $20,000, excluding a primary vehicle, primary home (if applicable), and a modest retirement account (limits on the excluded retirement amount vary by source, from $60,000 to $120,000)","Prospective homeowner (saving toward purchase, repair, or rehabilitation)",Must be in Oregon,No,No,Not specified beyond primary residence in Oregon,"Not specified as a hard requirement in sources reviewed (IDA also funds home repair/rehab, not just purchase)",Must demonstrate regular income sufficient to make monthly savings deposits,,,,,,,,Not specified in program materials reviewed,No,Must complete required financial education; some partner agencies charge a membership/application fee (one provider reviewed charges $75),"Matched savings account - participant deposits are matched with grant funds toward an approved home purchase, down payment, or repair","Match ratio commonly 5:1 in sources reviewed (e.g., save $1,200, receive $6,000 in match, for $7,200 total); exact ratio and cap set by the local partner agency and available funding","One-time, upon reaching the savings goal and completing the program",,"Proof of income; proof of Oregon residency; financial education completion; documentation of the approved use (purchase agreement, contractor estimate, etc.)",Enroll through a local CASA of Oregon/VIDA network partner agency; find a provider via CASA of Oregon's website,https://www.oregon.gov/ohcs/housing-assistance/pages/individual-development-account.aspx,2026-07-31,"Program structure and match ratio verified against OHCS, CASA of Oregon, and two individual provider (DevNW, NEOEDD) pages; the specific agency serving Jackson County was not confirmed in sources reviewed - ACCESS's own homeownership page does not mention IDAs directly","FOLLOW UP NEEDED: confirm whether ACCESS or another Jackson County nonprofit is the local IDA delivery partner before referring a client; if no local partner exists, CASA of Oregon can identify the nearest one","(541) 774-4305 (ACCESS, if Jackson/Josephine track applies)",hocinfo@accesshelps.org,"3630 Aviation Way, Medford, OR 97504 (unconfirmed as the local IDA provider)",,"Mon-Thu 7:30am-6:00pm; Fri 8:00am-4:30pm (ACCESS HOC hours, if applicable)",Statewide via CASA of Oregon/VIDA network; Jackson/Josephine County provider not confirmed,"<=80% AMI; household net worth <=$20,000",Rolling enrollment through local partner agencies; savings period commonly 3 months to 3 years,"State (OHCS) + nonprofit provider pages (DevNW, NEOEDD)",https://www.oregon.gov/ohcs/housing-assistance/pages/individual-development-account.aspx,Low,0-1 (unconfirmed),https://oregonidainitiative.org/overview/our-ida-partners/,"FOLLOW-UP NEEDED: confirm the actual Jackson County IDA delivery partner - ACCESS's own homeownership page does not mention IDA, Looks like it is Habitat and HAJC though FSS program only)",2026-07-31,https://www.ucancap.org/individual-development-accounts/ (Josephine/Douglas via UCAN) | https://accesshelps.org/wp-content/uploads/Homeownership-Intake-form.pdf (if delivered via ACCESS in Jackson),No single statewide IDA form - each local partner agency in the CASA of Oregon/VIDA network runs its own intake. Confirm which agency serves the applicant's county before using either link.,PARTIALLY RESOLVED 2026-08-06: UCAN confirmed as an IDA-adjacent Community Action Agency for Josephine/Douglas. Whether ACCESS delivers IDA for Jackson County remains UNCONFIRMED - ACCESS's own homeownership page still does not list IDA services. Call before referring a Jackson County client on this basis.
USDA-502-JACKSON-001,USDA Rural Development Single Family Housing Loans (Section 502 Direct and Guaranteed),Down Payment Assistance,"U.S. Department of Agriculture, Rural Development - Direct loans issued by USDA directly; Guaranteed loans issued by USDA-approved private lenders","Jackson (rural/suburban areas only - core urban blocks of Medford and Central Point are excluded; most other areas including Talent, Phoenix, Rogue River, Shady Cove, and Gold Hill are eligible)",,Open,Continuous,0,115,"Two tiers: Guaranteed loan uses a moderate-income limit (up to 115% of area median income; cited at $119,850/yr for a 1-4 person household, $158,250 for 5-8, per a national FY2025 table still cited as current for 2026 - confirm the Jackson County-specific row). Direct loan uses low-income (up to 80% AMI) and very-low-income (up to 50% AMI) limits; one source cites Jackson County-specific Direct limits of $90,300 (1-4 person household) and $119,200 (5-8 person household), which may reflect an earlier year's table",Yes,"Total household income counted, including all adult household members, not just the borrower(s)",,Prospective homeowner,"Yes - owner-occupied only, not available for investment properties",No,No,"Home must be located in a USDA-eligible rural or suburban area (broadly defined; population 35,000 or less and 'rural in character')",No - open to repeat buyers as well as first-time buyers,Must demonstrate ability and willingness to repay debt; Direct loan applicants generally must be unable to obtain other affordable financing,,,,,Guaranteed loan: commonly cited at 640 for automated approval; manual underwriting exceptions possible below that with compensating factors. Direct loan: no fixed minimum published; assessed case by case,"Guaranteed loan: commonly cited around 29% housing / 41% total debt ratios, though exceptions apply",No maximum loan amount cited for Guaranteed loans in Oregon; loan amount is based on repayment ability and the area loan limit for Direct loans,Not specified in program materials reviewed,No,Property must be in a USDA-eligible area - not available for homes inside Medford or Central Point city limits,"Direct loan: government-issued mortgage with payment assistance (interest subsidy) reducing the payment based on adjusted income. Guaranteed loan: 100% financing (zero down payment) on a mortgage from a private lender, backed by a USDA guarantee",0% down payment (both loan types); Direct loan payment assistance amount varies by adjusted family income; Guaranteed loan charges an upfront 1% guarantee fee plus a 0.35% annual fee in lieu of a down payment,One-time loan origination; ongoing reduced payments for the life of the loan (Direct) or standard mortgage terms (Guaranteed),Direct loan prioritizes low- and very-low-income applicants who cannot obtain other affordable financing,"Standard mortgage application documents; income and asset verification; for Direct loans, a demonstrated inability to secure other affordable credit",Guaranteed loan: apply through a USDA-approved private lender. Direct loan: apply through the local USDA Rural Development office; a Single Family Housing Direct Self-Assessment tool is available online to check likely eligibility before applying,https://www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-direct-home-loans-4,2026-07-31,"Program structure verified against USDA's own Rural Development page; specific Jackson County dollar income limits came from third-party aggregator sites with inconsistent figures between sources (one shows lower, likely older, Direct-loan-tier numbers; another shows the higher national Guaranteed-loan-tier figure) - the exact current Jackson County income limit table should be confirmed directly on USDA's income-limit lookup tool before quoting to a client","Not administered by ACCESS or OHCS - this is a federal program, though ACCESS or a local lender can still help a client determine property eligibility; property eligibility is address-specific, not county-wide, so always check the exact address against USDA's eligibility map rather than assuming based on county alone",Varies by local USDA RD office / approved lender - no single number confirmed,Not confirmed,Local USDA Rural Development office (Oregon State Office address not independently confirmed),,N/A - varies by lender/office,Jackson County rural/suburban areas only (excludes core Medford/Central Point); eligibility is address-specific,Guaranteed: <=115% AMI via a USDA-approved lender. Direct: <=80% AMI (low) or <=50% AMI (very low) via the local USDA RD office,Continuous; Guaranteed loans move at normal mortgage speed; Direct loan speed depends on local office capacity,Federal (USDA) official page,https://www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-direct-home-loans-4,Low-Medium,0,N/A,"Jackson County income-limit figures conflict between third-party sources - confirm via USDA's official income-limit lookup tool. (we need to speak with a lendor, realitor or Housing council to confirm limits)",2026-07-31,https://eligibility.sc.egov.usda.gov/eligibility/welcomeAction.do,"USDA property and income eligibility lookup - check the EXACT property address here first, since eligibility is address-specific, not county-wide. Direct loan self-assessment: https://www.rd.usda.gov/rural-housing-single-family-housing-direct-self-assessment. No single downloadable applicant form: Guaranteed loans go through a USDA-approved lender; Direct loans through the local USDA Rural Development office.","Reverified 2026-08-06. Income limit figures remain inconsistent between third-party aggregators (one shows Direct-tier ~$90,300 for 1-4 person, another the Guaranteed-tier ~$119,850). Use USDA's own eligibility lookup rather than any secondhand figure."
HABITAT-RV-OR-001,Rogue Valley Habitat for Humanity Homeownership Program,Down Payment Assistance,"Rogue Valley Habitat for Humanity (local nonprofit affiliate, not a government agency)",Jackson,,"Open on a cyclical basis - applications accepted during periodic 30-day windows, roughly twice per year depending on land inventory and budget",30-day application windows announced periodically; an orientation session is required just before each window opens,40,70,"Household income between 40% and 70% of the Federal Median Income for Jackson County, based on family size (one internal volunteer handbook cites a simpler 'below 70% AMI' standard - treat 40-70% as the operative range pending confirmation)",Yes,Not specified in program materials reviewed,,Prospective homeowner (first-time homebuyer),Yes,No,No,Newly constructed or rehabilitated Habitat home in Jackson County (Ashland must be a viable living location per one source reviewed),Yes - applicant(s) must not have owned real property in the last 3 years (a manufactured home on rented land does not count as real property and does not disqualify),Must demonstrate ability to make monthly mortgage payments (cited around $500-$750/month over a 30-year term in one source),,No requirement - reasonable accommodations made for sweat-equity hours for health or disability reasons,,,Not specified in program materials reviewed,,"Monthly housing payment (mortgage, insurance, property tax, HOA/pad fees) capped at no more than 30% of the household's gross monthly income at the time of purchase","At least one applicant must be a U.S. citizen or lawful Permanent Resident, and that person must be the source of the qualifying income","No (though a related disaster-recovery track exists for households who lost homes in the 2020 wildfires, per program materials reviewed)",Must currently live or work in Jackson County (sources reviewed vary slightly on the exact residency requirement); must demonstrate a need for adequate housing (overcrowding or cost burden),"Newly built or rehabilitated home sold at no profit, financed with an affordable mortgage sized to the buyer's income","Not a fixed dollar amount - the home itself, financed via a mortgage with monthly payments not exceeding 30% of gross income",One-time (home purchase); ongoing affordable mortgage over its term,"Households displaced by the 2020 Jackson County wildfires have been a specific focus of recent Rogue Valley Habitat construction, per program materials reviewed",Completed homeownership application (available at orientation or the Habitat office); proof of income; sweat equity commitment; homeowner education course completion,Attend a required orientation session held before each application window opens; submit a printed application (available online or at the Habitat admin office) during the 30-day window,https://www.roguevalleyhabitat.org/housing-programs,2026-07-31,"Verified against Rogue Valley Habitat's own website and a recent volunteer handbook; the exact income percentage range (40-70% vs. a simpler 'below 70%' cited elsewhere) and residency requirement wording differ slightly between the organization's own sources, so should be confirmed directly before advising a client","Requires 500 sweat-equity hours per partner household (some general Habitat program descriptions cite 250-500, so confirm current requirement); contact: Rogue Valley Habitat for Humanity, 2201 S Pacific Hwy, Medford, OR 97501, Operations Director Brandon Thoms, (541) 779-1983, bthoms@roguevalleyhabitat.org; distinct from and not administered by ACCESS",(541) 779-1983,bthoms@roguevalleyhabitat.org,"2201 S Pacific Hwy, Medford, OR 97501",,"N/A - cyclical 30-day application windows only, not standing office intake hours",Jackson County,40-70% AMI; first-time buyer; U.S. citizen/permanent resident; 1+ year Jackson County residency or work; ~500 sweat-equity hours,Applications accepted only during periodic 30-day windows (roughly twice per year); required orientation session before each window opens,Nonprofit (Rogue Valley Habitat) official page + volunteer handbook,https://www.roguevalleyhabitat.org/housing-programs,Medium,1,HABITAT-RV,"AMI range (40-70% vs. a simpler ""below 70%"" cited elsewhere) and residency wording differ between Habitat's own materials",2026-07-31,https://www.roguevalleyhabitat.org/housing-programs,"NO standing application form. Applications are posted per-development only during periodic 30-day enrollment windows, then removed. A required orientation session is held just before each window opens. Monitor the link above for the next window.","Reverified 2026-08-06. Habitat's own materials remain internally inconsistent on the income band (40-70% AMI on one page vs. ""below 70%"" in a volunteer handbook) and on the residency requirement wording. Confirm directly before screening a borderline applicant."
HAJC-HOV-OR-001,HAJC Homeownership Voucher Program,Down Payment Assistance,Housing Authority of Jackson County (HAJC),Jackson,,Open,Continuous,,,,,,,Prospective homeowner (current voucher holder),Yes,,,,"Not explicitly, but standard homebuyer education and counseling are required",,No requirement - elderly households are exempt from the FSS participation requirement,No requirement - disabled households are exempt from the FSS participation requirement,,,"Typically above 650 (set by the lender, not HAJC)",Typically below 40% (lender-set),,,,Must be a current FSS participant/graduate OR elderly/disabled; must have held the voucher at least 1 year; no lease violations in the past year; no money owed to any housing authority; no tenant-caused HQS violations in the previous year; no bankruptcies in the previous 3-7 years,Housing assistance applied toward monthly mortgage payments instead of rent; HAJC pays a subsidy on the participant's behalf after purchase,Varies by household income and mortgage,Ongoing monthly after purchase,,"Orientation attendance, ACCESS housing counseling certificate, financial and homeownership education completion, lender pre-approval","Contact a Homeownership Voucher Coordinator: Eric at ericj@hajc.net or ext. 1016, or Tia at tia@hajc.net or ext. 1021. A required 1-2 hour orientation determines eligibility.",https://hajc.net/homeownership/,2026-08-06,Verified against HAJC's homeownership page,"Required housing counseling is provided by the ACCESS Homeownership Center, (541) 774-4305 - the same office running HOAP and RVAR/OAR. Screen this household for those down payment assistance programs at the same appointment. NOTE: the participant pays enrollment fees for the required education courses.",(541) 779-5785 ext. 1016 or ext. 1021,ericj@hajc.net; tia@hajc.net,"2251 Table Rock Road, Medford, OR 97501",,Mon-Thu 8:00am-4:30pm. CLOSED FRIDAYS.,Jackson County,"FSS participant/graduate, or elderly/disabled voucher holder of 1+ year, meeting lender criteria",,Public Housing Agency (HAJC) official page,,High,2,HAJC; ACCESS-HOC,,2026-08-06,https://hajc.net/homeownership/,No downloadable initial application - start with the required orientation. Annual recertification packet: https://hajc.net/wp-content/uploads/2025/04/HO-Annual-Packet-04.2025.pdf,NEW ROW added 2026-08-06.
HABITAT-GP-OR-001,Grants Pass Area Habitat for Humanity Homeownership Program,Down Payment Assistance,"Grants Pass Area Habitat for Humanity (nonprofit, separate affiliate from Rogue Valley Habitat)",Josephine,,Open - contact directly for current application cycle,,,,,,,,Prospective homeowner,Yes,,,Habitat-built or rehabilitated home in Josephine County,,,,,,,,,,,,Serves Josephine County residents living in substandard housing whose income falls within program limits; sweat-equity participation expected per standard Habitat model,"Affordable homeownership - a Habitat-built home sold with an affordable mortgage, in partnership with the buyer",Not a cash benefit - the home itself,One-time,,,Contact Grants Pass Area Habitat for Humanity directly for current application availability,https://www.grantspassoregon.gov/BusinessDirectoryII.aspx?lngBusinessCategoryID=23,2026-08-06,Contact information verified against the City of Grants Pass official resource directory; program eligibility detail NOT independently verified against Habitat's own materials,"DISTINCT ORGANIZATION from Rogue Valley Habitat for Humanity (Medford/Jackson County). A Josephine County applicant should be routed here, not to Rogue Valley Habitat.",(541) 474-2884,,"338 SW Ramsey Ave, 2nd Floor, Grants Pass, OR 97527",,,Josephine County,"Josephine County resident in substandard housing, income-qualified, willing to partner with Habitat",,City government resource directory,,Low-Medium,1,HABITAT-GP,"Income band, sweat-equity hour requirement, application cycle, and whether a waitlist exists are all unconfirmed - verify against Habitat's own site or by phone before referring.",2026-08-06,https://www.gphabitat.org/,"Application availability not confirmed - like most Habitat affiliates, applications are likely offered in cycles rather than continuously. Call before referring.","NEW ROW added 2026-08-06. The sheet had Rogue Valley Habitat only, leaving Josephine County uncovered."
ACCESS-RENT-OR-001,ACCESS Rental Assistance Program,Rent Support,"ACCESS, Inc., funded by Oregon Housing and Community Services (OHCS)",Jackson,,Open - but funding described as limited at time of research,Continuous while funded,0,80,Household income at or below 80% of Area Median Income (AMI),Yes,,,Renter,Yes,,"Not required, but is a common qualifying circumstance",Has to pass a HQS or INSPIRE,,,,,,,,,,,No - both at-risk and already-behind households may qualify,,"Rental and utility payment assistance, plus case management and eviction prevention services, deposit only assistance",Not published - determined case by case based on need and available funding,As needed while funding lasts,,"Proof of income for all household members 18+, lease or rental agreement, ID, any eviction notice or past-due rent documentation",Call the ACCESS Rent Relief team or submit a message through the ACCESS website,https://accesshelps.org/rental-assistance/,2026-08-04,Verified directly against ACCESS's official Rental Assistance page,Access has multiple programs for rental assistance based on funding and eligability,(541) 414-0317,"3630 Aviation Way, Medford, OR 97504","3630 Aviation Way, Medford, OR 97504",,Mon-Thu 8:00am-5:00pm; Fri 9:00am-4:30pm,Jackson County,Jackson County renter; household income <=80% AMI; behind on rent/utilities or at risk,Funding described as limited at time of research - call to confirm current availability before referring a client,Agency (ACCESS) official page,https://www.kdrv.com/news/local/inside-southern-oregons-rental-assistance-programs/article_cdc015e6-b65b-11ee-97ef-b746c1fdae15.html,High,1,ACCESS-RENT,Maximum benefit amount and exact funding status not published - confirm by phone,2026-08-06,https://accesshelps.org/rental-assistance/,"No downloadable applicant form - call the Rent Relief team or submit a message through the ACCESS website. ACCESS also offers the Rent Well Tenant Education Program (6-session state curriculum) for tenants with barriers such as poor credit, eviction history, or prior homelessness; the completion certificate can be shown to landlords.","Reverified 2026-08-06 against ACCESS's Rental Assistance page. Phone, address, and hours added (previously blank). 80% AMI standard confirmed. Funding described as limited - confirm availability before referring."
ACCESS-SSVF-OR-001,Supportive Services for Veteran Families (SSVF),Rent Support,"ACCESS, Inc., funded by the U.S. Department of Veterans Affairs and OHCS",Jackson; Josephine; Coos; Curry; Douglas(subgrantees in no jackson conty),,Open,Continuous,0,50,Household income at or below 50% of Area Median Income (AMI),Yes,,,Renter,Yes,,No - serves both literally homeless Veterans (Rapid Rehousing) and those at risk of homelessness (prevention),,,,,,head of household must be a Veteran (VA discharge status requirements apply) active duty requirments for national guard and no dishonrable discharge.,,,,,,Yes - must be homeless or at imminent risk of homelessness,,"Security deposits, temporary rental assistance, utility payments, eviction prevention, case management, connection to VA benefits and healthcare",up to 9 months of TFA and up to 18 months for shallow(pays 50% of rent),As needed per case plan,,"Proof of Veteran status (DD-214 or equivalent), proof of income, housing status documentation must recert every 90 days",,https://accesshelps.org/veterans-assistance/,2026-08-04,Verified directly against ACCESS's official Veterans Services page,"ACCESS's SSVF Rapid Rehousing program specifically houses homeless Veterans in motels/shelters while pairing them with a case manager. Also helps recover lost/stolen VA, DMV, or county documents.",(541) 774-4322,,"3630 Aviation Way, Medford, OR 97504",,Mon-Thu 7:30am-6:00pm; Fri 8:00am-4:30pm,"5-county region: Jackson, Josephine, Coos, Curry, Douglas ACCEss uses sub grantesss in non-Jackson county areas",Veteran or Veteran's spouse as head of household; <=50% AMI; homeless or at imminent risk,Not published - contact directly to confirm current funding status,Agency (ACCESS) official page,https://www.sopbs.org/programs/locally-produced/local-focus/resources-for-homeless-veterans/,High,1,ACCESS-SSVF,Maximum benefit and exact deposit-assistance dollar limits not published,2026-08-06,https://accesshelps.org/veterans-assistance/,"No downloadable applicant form - contact ACCESS SSVF directly at (541) 774-4322. Self-referral, VA referral, and partner referral all accepted. National Call Center for Homeless Veterans: 1-877-424-3838 (24/7). Case manager submits financial assistance requests on the veteran's behalf.","Reverified 2026-08-06 against VA national SSVF materials and ACCESS. Confirmed Housing First rule: for Rapid Re-Housing, neither employment, income, criminal history, nor sobriety is a prerequisite. Also confirmed Shallow Subsidy (partial rent up to 2 years) and Returning Home services. NOTE: UCAN also delivers SSVF for Josephine/Douglas - a Josephine veteran may be served by UCAN rather than ACCESS."
COMWORKS-HOUSING-OR-001,Community Works Survivor Housing Services,Rent Support,Community Works (nonprofit domestic/sexual violence services agency),Jackson,,Open,Continuous - 24/7 HelpLine,,,"Not income-tested - eligibility is based on survivor status, not household income",Not specified,,,Renter; transitional housing resident,"No - includes emergency shelter and transitional housing, not only assistance to remain in an existing home",,,,,,No age requirement for most services; the Homeless Youth Transitional Housing component serves youth up to age 24 (and youth with their own children),,,,,,,,"Yes - must be a survivor of domestic violence, sexual violence, stalking, or trafficking (or homeless youth, for that specific track)",Not a general-population rental assistance fund - services are specifically for survivors of violence/trafficking and homeless youth,"Emergency shelter (Dunn House), transitional housing (Mary's Haven, up to 2 years), homeless youth transitional housing (up to 2 years), and Housing Advocate support finding permanent housing COC CE entry point for LTRA",Not published as a dollar figure - housing/shelter placement rather than a cash grant,"Ongoing case-by-case, up to 2 years for transitional housing tracks",,Not published - contact the confidential HelpLine to begin,Call the 24/7 HelpLine; all services are free and confidential,https://www.community-works.org/,2026-08-04,Verified directly against Community Works' official Housing page,"This is a survivor-specific service, not a general-population rental/deposit assistance fund - screen for domestic violence, sexual violence, stalking, or trafficking history (or unaccompanied youth homelessness) before referring here rather than to ACCESS's general Rental Assistance Program.",HelpLine (541) 779-4357; Office (541) 779-2393; Espanol (541) 779-2393 x209,,"2594 E. Barnett Rd., Suite C, Medford, OR 97504",,24/7 HelpLine; walk-in office Mon-Fri 8am-4pm,Jackson County,"Survivor of domestic violence, sexual violence, stalking, or trafficking; or homeless youth up to age 24",Not published,Nonprofit (Community Works) official page,https://www.ocadsv.org/find-help/community-works-dunn-house/,High,1,COMWORKS,Whether Housing Advocates provide direct cash deposit assistance or only housing search/navigation support was not clearly distinguished in materials reviewed,2026-08-06,https://www.community-works.org/housing/,No application form - access is via the confidential 24/7 HelpLine at (541) 779-4357. All services free and confidential.,"Reverified 2026-08-06. IMPORTANT: this is survivor-specific (domestic violence, sexual violence, stalking, trafficking) or homeless-youth-specific, NOT general-population rental assistance. Screen for survivor status before referring here rather than to ACCESS."
