"State","ProgramID","Program","Category","Dataset","Standard","Tier","Area","Active","InactiveReason","SourceText"
"MN","VRG-28","Veterans Relief Grant (MDVA)","Utility crisis fund - veterans","none - no published income test","HUD-MFI","",,"True",,"Demonstrated financial need, case-by-case"
"MN","WP-WATER-36","City of Waite Park Water & Sewer - delinquency and shutoff","Municipal water/sewer billing (SHUTOFF RISK)","none - no published income test","HUD-MFI","",,"True",,"None published"
"MN","XCEL-GAP-08","Gas Affordability Program (Xcel Energy)","Utility bill discount - natural gas","none - no published income test","HUD-MFI","",,"True",,"Must be an approved EAP (LIHEAP) recipient for the current heating season"
"MN","XCEL-LUAC-10","Low Usage Affordability Credit (LUAC)","Utility bill discount - electric","none - no published income test","HUD-MFI","",,"True",,"EAP recipients auto-enrolled. ALTERNATIVE PATH: customers averaging under 300 kWh/month may SELF-DECLARE if they qualify for another Minnesota assistance program such as Medical Assistance or SNAP - no EAP award needed."
"MN","XCEL-MAP-11","Medical Affordability Program (MAP)","Utility bill discount - electric (medical)","none - no published income test","HUD-MFI","",,"True",,"Income limits typically mirror the EAP limits, but EAP enrolment is NOT required. If funds remain, eligibility may extend to customers above the income limit."
"MN","XCEL-POWERON-07","PowerOn (Xcel Energy electric affordability)","Utility bill discount - electric","none - no published income test","HUD-MFI","",,"True",,"Must be an approved EAP (LIHEAP) recipient for the current heating season"
"MN","XCEL-SENIOR-09","Senior / Disability Electric Discount (Xcel Energy)","Utility bill discount - electric","none - no published income test","HUD-MFI","",,"True",,"Must receive Energy Assistance (EAP)"
"OR","ACCESS-HOAP-OR-001","Home Ownership Assistance Program (HOAP)","Down Payment Assistance","HUD-MFI @ 100%","HUD-MFI","100%",,"True",,"Household income at or below 100% of Area Median Income (AMI); first-time AND first-generation homebuyers"
"OR","ACCESS-RENT-OR-001","ACCESS Rental Assistance Program","Rent Support","HUD-MFI @ 80%","HUD-MFI","80%",,"True",,"Household income at or below 80% of Area Median Income (AMI)"
"OR","ACCESS-RVAR-OAR-OR-001","RVAR/OAR HOME Foundation First-Time Homebuyer Assistance Program","Down Payment Assistance","OR-SMI @ 100%","OR-SMI","100%","OR","True",,"Household income does not exceed the State of Oregon Median Income Limit per HUD guidelines"
"OR","ACCESS-SSVF-OR-001","Supportive Services for Veteran Families (SSVF)","Rent Support","HUD-MFI @ 50%","HUD-MFI","50%",,"True",,"Household income at or below 50% of Area Median Income (AMI)"
"OR","AVISTA-MED-OR-001","My Energy Discount - Oregon (formerly My Energy Rate)","Utility Reduction","OR-SMI @ 60%","OR-SMI","60%","OR","True",,"60% Oregon State Median Income (SMI), effective 10/1/2025"
"OR","COMWORKS-HOUSING-OR-001","Community Works Survivor Housing Services","Rent Support","none - no published income test","HUD-MFI","",,"True",,"Not income-tested - eligibility is based on survivor status, not household income"
"OR","FNC-HOUSING-OR-001","Family Nurturing Center - Housing Support (wraparound family service)","Rent Support","none - no published income test","HUD-MFI","",,"True",,"Not published as a fixed AMI test"
"OR","HABITAT-GP-OR-001","Grants Pass Area Habitat for Humanity Homeownership Program","Down Payment Assistance","none - no published income test","HUD-MFI","",,"True",,""
"OR","HABITAT-RV-OR-001","Rogue Valley Habitat for Humanity Homeownership Program","Down Payment Assistance","HUD-MFI @ 70%","HUD-MFI","70%",,"True",,"Household income between 40% and 70% of the Federal Median Income for Jackson County, based on family size (one internal volunteer handbook cites a simpler 'below 70% AMI' standard - treat 40-70% as the operative range pending confirmation)"
"OR","HAJC-FSS-OR-001","HAJC Family Self-Sufficiency (FSS) Program","Rent Support","none - no published income test","HUD-MFI","",,"True",,"No separate income test - eligibility is simply current HCV participation"
"OR","HAJC-HCV-OR-001","Housing Choice Voucher Program (Section 8)","Rent Support","HUD-MFI @ 50%","HUD-MFI","50%",,"True",,"Very-Low Income (50% AMI) limits effective 05/01/2026: 1p $34,350 / 2p $39,250 / 3p $44,150 / 4p $49,050 / 5p $53,000 / 6p $56,900 / 7p $60,850 / 8p $64,750"
"OR","HAJC-HOV-OR-001","HAJC Homeownership Voucher Program","Down Payment Assistance","none - no published income test","HUD-MFI","",,"True",,""
"OR","HAJC-NED-OR-001","HAJC Non-Elderly Disabled (NED) Vouchers","Rent Support","HUD-MFI @ 50%","HUD-MFI","50%",,"True",,"Same very-low-income limits as the standard Housing Choice Voucher"
"OR","JHCDC-HCV-OR-001","Housing Choice Voucher Program (Section 8) - Josephine County","Rent Support","HUD-MFI @ 50%","HUD-MFI","50%",,"True",,"HUD income limits for Josephine County, based on gross income before taxes or deductions. Monthly limits posted at jhcdc.net/applicants/ (most recent set effective 04-01-2025 - confirm current)."
"OR","LIHEAP-OR-JACKSON-001","Low-Income Home Energy Assistance Program (LIHEAP)","Utility Reduction","OR-SMI @ 60%","OR-SMI","60%","OR","True",,"60% Oregon State Median Income (SMI)"
"OR","LIHEAP-OR-Josephine-001","Low-Income Home Energy Assistance Program (LIHEAP)","Utility Reduction","OR-SMI @ 60%","OR-SMI","60%","OR","True",,"60% Oregon State Median Income (SMI)"
"OR","MASLOW-SHAP-OR-001","Maslow Project - Short-Term Housing Assistance (SHAP) and Housing Navigation","Rent Support","none - no published income test","HUD-MFI","",,"True",,"Not a fixed AMI test - eligibility is based on youth/family homelessness status"
"OR","OEAP-OR-JACKSON-001","Oregon Energy Assistance Program (OEAP)","Utility Reduction","OR-SMI @ 60%","OR-SMI","60%","OR","True",,"60% Oregon State Median Income (SMI) - same standard as LIHEAP"
"OR","OHCS-BOND-OR-001","OHCS Flex Lending Program (FirstHome / NextStep) - formerly Oregon Bond Residential Loan","Down Payment Assistance","none - no published income test","HUD-MFI","",,"True",,"Household income limit varies by county, household size, and whether the area is a HUD-designated 'targeted area'; published and updated periodically by OHCS (sources reviewed cite figures roughly in the $99,000-$165,000/yr range depending on area/family size, but the exact current table should be confirmed directly with OHCS)"
"OR","OHCS-MCC-OR-001","Oregon Mortgage Credit Certificate (MCC) Program","Down Payment Assistance","none - no published income test","HUD-MFI","",,"True",,"Income at or below the median family income limit established by OHCS for the area (per ORS 456.605); moderate and lower-income households"
"OR","OHCS-REOREGON-DPA-001","ReOregon Down Payment Assistance (DPA) Program","Down Payment Assistance","HUD-MFI @ 80%","HUD-MFI","80%",,"True",,"Household income at or below 80% of area median income (AMI) for the household's county"
"OR","OHRA-NAV-OR-001","OHRA (Options for Helping Residents of Ashland) - Eviction Prevention & Resource Navigation","Rent Support","none - no published income test","HUD-MFI","",,"True",,"Not published as a fixed AMI test - navigators connect guests to whichever partner program's criteria apply (e.g. ACCESS's 80% AMI Rental Assistance)"
"OR","OR-EPRR-STATEWIDE-001","Oregon Eviction Prevention Rapid Response (OR-EPRR)","Rent Support","none - no published income test","HUD-MFI","",,"True",,"Not published in materials reviewed - inquire directly"
"OR","OR-HOME-SAVINGS-001","Oregon First-Time Home Buyer Savings Account (OR-HOME)","Down Payment Assistance","none - no published income test","HUD-MFI","",,"True",,"None - not means-tested; available to any first-time homebuyer regardless of income"
"OR","OR-IDA-HOME-001","Oregon Individual Development Account (IDA) Initiative - Homeownership Goal","Down Payment Assistance","HUD-MFI @ 80%","HUD-MFI","80%",,"True",,"Household adjusted gross income at or below 80% of area median income for household size (figure confirmed via a DevNW-operated IDA program; exact threshold may vary slightly by local partner agency)"
"OR","PP-LID-OR-001","Pacific Power Oregon Low-Income Discount (LID)","Utility Reduction","OR-SMI @ 60%","OR-SMI","60%","OR","True",,"Tiered % of Oregon State Median Income (SMI): <=5% SMI, 5-20% SMI, 20-60% SMI"
"OR","ROGUERETREAT-EP-OR-001","Rogue Retreat Eviction Prevention & Housing Stability","Rent Support","none - no published income test","HUD-MFI","",,"True",,"Not published as a fixed AMI test"
"OR","SALVATIONARMY-MEDFORD-OR-001","Salvation Army Medford Corps - Rent & Utility Assistance / Hope House Transitional Housing","Rent Support","none - no published income test","HUD-MFI","",,"True",,"Not published as a fixed AMI test"
"OR","SVDP-MEDFORD-OR-001","St. Vincent de Paul Medford - Advocacy and Social Services Program","Rent Support","none - no published income test","HUD-MFI","",,"True",,"Not published as a fixed AMI test"
"OR","UCAN-OEAP-OR-001","Oregon Energy Assistance Program (OEAP) - Josephine/Douglas","Utility Reduction","OR-SMI @ 60%","OR-SMI","60%","OR","True",,"60% Oregon State Median Income (same standard as LIHEAP)"
"OR","UCAN-SSVF-OR-001","Supportive Services for Veteran Families (SSVF) - Josephine/Douglas","Rent Support","HUD-MFI @ 50%","HUD-MFI","50%",,"True",,"Very low-income; standard SSVF threshold is 50% of Area Median Income"
"OR","USDA-502-JACKSON-001","USDA Rural Development Single Family Housing Loans (Section 502 Direct and Guaranteed)","Down Payment Assistance","HUD-MFI @ 115%","HUD-MFI","115%",,"True",,"Two tiers: Guaranteed loan uses a moderate-income limit (up to 115% of area median income; cited at $119,850/yr for a 1-4 person household, $158,250 for 5-8, per a national FY2025 table still cited as current for 2026 - confirm the Jackson County-specific row). Direct loan uses low-income (up to 80% AMI) and very-low-income (up to 50% AMI) limits; one source cites Jackson County-specific Direct limits of $90,300 (1-4 person household) and $119,200 (5-8 person household), which may reflect an earlier year's table"
